Date,Forecast
2025-05-31,104027.120366078
2025-06-01,103847.51636170661
2025-06-02,103436.6993488626
2025-06-03,102960.81999695621
2025-06-04,102368.8495387028
2025-06-05,101698.92514765987
2025-06-06,101009.99122686435
2025-06-07,100334.76681934486
2025-06-08,99650.58748387659
2025-06-09,98945.57090110266
2025-06-10,98220.83511336493
2025-06-11,97474.781308378
2025-06-12,96703.49003971757
2025-06-13,95914.04194960708
2025-06-14,95108.62173365829
2025-06-15,94300.67965865949
2025-06-16,93488.16344423774
2025-06-17,92670.07203356852
2025-06-18,91849.1434009274
2025-06-19,91024.07056007553
2025-06-20,90196.11987943477
2025-06-21,89365.83983467464
2025-06-22,88539.0283067876
2025-06-23,87718.75952304738
2025-06-24,86911.45655960601
2025-06-25,86121.14383199348
2025-06-26,85338.44021296655
2025-06-27,84568.51020615557
2025-06-28,83810.06289115021
2025-06-29,83060.3787811868
