Date,Predicted_BTC_Close
2025-05-31,103346.15923454013
2025-06-01,103370.17566488072
2025-06-02,104067.809018017
2025-06-03,104932.01273153219
2025-06-04,105755.16360179565
2025-06-05,106465.36744928404
2025-06-06,107050.61605882706
2025-06-07,107523.42175796491
2025-06-08,107903.0442244196
2025-06-09,108209.30541509495
2025-06-10,108459.8169480421
2025-06-11,108667.53063338017
2025-06-12,108843.07160875175
2025-06-13,108994.27946780677
2025-06-14,109126.18240828608
2025-06-15,109242.65821765049
2025-06-16,109346.195142854
2025-06-17,109438.16333546612
2025-06-18,109520.06220663834
2025-06-19,109593.56566795791
2025-06-20,109658.4539781354
2025-06-21,109716.207159385
2025-06-22,109767.38102790943
2025-06-23,109812.13069520713
2025-06-24,109851.28988558217
2025-06-25,109885.79573100424
2025-06-26,109915.55128678682
2025-06-27,109941.50661085782
2025-06-28,109963.79096279925
2025-06-29,109982.75980646169
2025-06-30,109999.02066188067
2025-07-01,110012.83204822024
2025-07-02,110024.61405912199
2025-07-03,110034.54119502165
2025-07-04,110042.74917848036
2025-07-05,110049.61286228598
2025-07-06,110055.26150602056
2025-07-07,110059.98594374364
2025-07-08,110063.82495332984
2025-07-09,110066.97242415219
2025-07-10,110069.58993068823
2025-07-11,110071.71625081258
2025-07-12,110073.38369942072
2025-07-13,110074.92188844684
2025-07-14,110076.20802128801
2025-07-15,110077.27441283973
2025-07-16,110078.17922991392
2025-07-17,110078.85784271956
2025-07-18,110079.523529567
2025-07-19,110080.0276419369
2025-07-20,110080.53821728591
2025-07-21,110080.9712368857
2025-07-22,110081.4818122347
2025-07-23,110082.04409141652
2025-07-24,110082.62575953564
2025-07-25,110083.18803871746
2025-07-26,110083.55642852624
2025-07-27,110083.93128131412
2025-07-28,110084.09285579165
2025-07-29,110084.04761493794
2025-07-30,110083.8537255649
2025-07-31,110083.66629917096
2025-08-01,110083.46594681882
2025-08-02,110083.29144638308
2025-08-03,110083.12340892645
2025-08-04,110082.95537146981
2025-08-05,110082.81318592958
2025-08-06,110082.69685230576
2025-08-07,110082.56759272373
2025-08-08,110082.46418505811
2025-08-09,110082.34785143429
2025-08-10,110082.26383270597
2025-08-11,110082.18627695675
2025-08-12,110082.12811014484
2025-08-13,110082.03762843742
2025-08-14,110081.99238758371
2025-08-15,110081.94714673
2025-08-16,110081.9212948136
2025-08-17,110081.86312800169
2025-08-18,110081.84373906438
2025-08-19,110081.80496118977
2025-08-20,110081.78557225247
2025-08-21,110081.75972033606
2025-08-22,110081.74033139876
2025-08-23,110081.73386841966
2025-08-24,110081.71447948235
2025-08-25,110081.71447948235
2025-08-26,110081.70155352415
2025-08-27,110081.68862756595
2025-08-28,110081.68216458685
